Word; hint; difficulty
кот;домашнее животное с длинными усами ; 1
собака; верный друг человека; 1
автомобиль;Средство передвижения;1
книга;Сборник печатного текста;1
солнце;Звезда, дающая свет и тепло;1
дерево;Растение с толстым стволом;1
река;Текущая вода;1
гора;Высокий холм;1
телефон;Устройство для связи;1
компьютер;Электронное устройство для обработки информации;2
музыка;Искусство звуков;2
любовь;Сильное чувство привязанности;2
свобода;Отсутствие ограничений;2
время;Понятие о последовательности событий;2
счастье;Чувство радости и удовлетворения;2
мечта;Желание о чем-то недостижимом;2
страх;Чувство тревоги и опасности;2
гнев;Сильное чувство раздражения;2
радость;Чувство счастья и удовольствия;2
печаль;Чувство грусти и тоски;2
надежда;Вера в лучшее;3
вечность;Бесконечность времени;3
